ValenceBand,ConductionBand,CrystalDirection,mvb,mcb,mcb_indirect,Bandgap,IndirectBandgap,ElectronAffinity,ValenceBandShape,CollisionTime,epsilonStatic,epsilonInf,NumBonds,LatticeConstant,Density,MolarMass (g/mol),DeformationPotential,SpeedofSound,PhononFrequency,Tphonon,SellmeierForm,B1,C1,B2,C2,B3,C3,MinWavelength,MaxWavelength,Wavelength,n,kappa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,0
